

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2022-03-24 00:00:00,528,BUY,43991.46,2.476446,Buy 1D,0.00,108942.49
1400,2022-04-08 00:00:00,618,SELL,42252.01,2.476446,SL DOWN Full,-4307.65,104624.37
1400,2022-04-08 00:00:00,618,SHORT,42252.01,2.476199,Short on Stop (SL DOWN),0.00,104613.91
1400,2022-05-04 08:00:00,776,COVER_SHORT,38973.20,2.476199,Buy Signal Trigger,0.00,112723.24
1400,2022-05-04 08:00:00,776,BUY,38973.20,1.156815,Buy 4H,0.00,112718.73
1400,2022-05-05 00:00:00,780,SELL,36552.97,1.156815,SL DOWN Full,-2799.76,109914.75
1400,2022-05-05 00:00:00,780,SHORT,36552.97,3.006999,Short on Stop (SL DOWN),0.00,109903.76
1400,2022-05-15 20:00:00,845,COVER_SHORT,31328.89,3.006999,Buy Signal Trigger,0.00,125603.14
1400,2022-05-15 20:00:00,845,BUY,31328.89,1.603511,Buy 4H,0.00,125598.11
1400,2022-05-16 00:00:00,846,SELL,29874.01,1.603511,SL DOWN Full,-2332.92,123260.41
1400,2022-05-16 00:00:00,846,SHORT,29874.01,4.126008,Short on Stop (SL DOWN),0.00,123248.08
1400,2022-05-29 12:00:00,927,COVER_SHORT,29215.98,4.126008,Buy Signal Trigger,0.00,125951.06
1400,2022-05-29 12:00:00,927,BUY,29215.98,1.724241,Buy 4H,0.00,125946.03
1400,2022-05-30 04:00:00,931,BUY,30636.12,1.676216,Buy 4H,0.00,128389.55
1400,2022-05-31 00:00:00,936,BUY,31801.04,0.761307,Buy 1D,0.00,132348.39
1400,2022-06-01 00:00:00,942,SELL,29805.83,4.161763,SL DOWN Full,-1893.67,124032.40
1400,2022-06-01 00:00:00,942,SHORT,29805.83,4.161347,Short on Stop (SL DOWN),0.00,124019.99
1400,2022-06-05 16:00:00,970,COVER_SHORT,29919.21,4.161347,Buy Signal Trigger,0.00,123535.73
1400,2022-06-05 16:00:00,970,BUY,29919.21,1.651426,Buy 4H,0.00,123530.79
1400,2022-06-06 04:00:00,973,BUY,31292.77,1.607867,Buy 4H,0.00,125794.09
1400,2022-06-08 00:00:00,984,SELL,30204.77,3.259293,SL DOWN Full,-1277.78,122238.13
1400,2022-06-08 00:00:00,984,SHORT,30204.77,4.046981,Short on Stop (SL DOWN),0.00,122225.91
1400,2022-06-23 20:00:00,1079,COVER_SHORT,21110.13,4.046981,Buy Signal Trigger,0.00,159023.20
1400,2022-06-23 20:00:00,1079,BUY,21110.13,3.012910,Buy 4H,0.00,159016.84
1400,2022-06-28 00:00:00,1104,SELL,20281.29,3.012910,SL DOWN Full,-2497.22,156513.51
1400,2022-06-28 00:00:00,1104,SHORT,20281.29,7.717138,Short on Stop (SL DOWN),0.00,156497.86
1400,2022-07-14 16:00:00,1204,COVER_SHORT,20588.84,7.717138,Buy Signal Trigger,0.00,154108.56
1400,2022-07-14 16:00:00,1204,BUY,20588.84,2.993722,Buy 4H,0.00,154102.40
1400,2022-07-16 16:00:00,1216,BUY,21195.60,2.942182,Buy 4H,0.00,155912.63
1400,2022-07-19 00:00:00,1230,BUY,23396.62,1.286279,Buy 1D,0.00,168974.67
1400,2022-07-22 00:00:00,1248,SELL,22684.83,7.222183,SL UP Full,9740.84,163817.61
1400,2022-07-22 00:00:00,1248,SHORT,22684.83,7.221461,Short on Stop (SL UP),0.00,163801.23
1400,2022-07-28 00:00:00,1284,COVER_SHORT,23842.93,7.221461,Buy Signal Trigger,0.00,155420.83
1400,2022-07-28 00:00:00,1284,BUY,23842.93,6.517877,Buy 1D,0.00,155405.29
1400,2022-07-31 00:00:00,1302,SELL,23293.32,6.517877,SL UP Full,-3582.29,151807.82
1400,2022-07-31 00:00:00,1302,SHORT,23293.32,6.517225,Short on Stop (SL UP),0.00,151792.64
1400,2022-08-05 04:00:00,1333,COVER_SHORT,23186.08,6.517225,Buy Signal Trigger,0.00,152476.43
1400,2022-08-05 04:00:00,1333,BUY,23186.08,2.630219,Buy 4H,0.00,152470.34
1400,2022-08-08 08:00:00,1352,BUY,23991.38,2.577142,Buy 4H,0.00,154582.27
1400,2022-08-09 00:00:00,1356,SELL,23149.95,5.207361,SL UP Full,-2263.51,150188.58
1400,2022-08-09 00:00:00,1356,SHORT,23149.95,6.487642,Short on Stop (SL UP),0.00,150173.56
1400,2022-08-12 16:00:00,1378,COVER_SHORT,24403.68,6.487642,Buy Signal Trigger,0.00,142023.98
1400,2022-08-12 16:00:00,1378,BUY,24403.68,2.327678,Buy 4H,0.00,142018.30
1400,2022-08-16 00:00:00,1398,SELL,23854.74,2.327678,SL UP Full,-1277.76,140734.99
1400,2022-08-16 00:00:00,1398,SHORT,23854.74,5.899666,Short on Stop (SL UP),0.00,140720.92
1400,2022-08-23 08:00:00,1442,COVER_SHORT,21474.67,5.899666,Buy Signal Trigger,0.00,154749.87
1400,2022-08-23 08:00:00,1442,BUY,21474.67,2.882175,Buy 4H,0.00,154743.68
1400,2022-08-24 16:00:00,1450,BUY,21368.08,2.890686,Buy 4H,0.00,154430.29
1400,2022-08-26 00:00:00,1458,SELL,20241.05,5.772861,SL DOWN Full,-6813.40,147912.41
1400,2022-08-26 00:00:00,1458,SHORT,20241.05,7.307547,Short on Stop (SL DOWN),0.00,147897.62
1400,2022-09-09 04:00:00,1543,COVER_SHORT,20631.76,7.307547,Buy Signal Trigger,0.00,145027.41
1400,2022-09-09 04:00:00,1543,BUY,20631.76,2.811450,Buy 4H,0.00,145021.61
1400,2022-09-10 00:00:00,1548,BUY,21648.34,4.019142,Buy 1D,0.00,147870.98
1400,2022-09-13 00:00:00,1566,SELL,20173.57,6.830592,SL DOWN Full,-7215.49,137783.64
1400,2022-09-13 00:00:00,1566,SHORT,20173.57,6.829909,Short on Stop (SL DOWN),0.00,137769.87
1400,2022-09-25 04:00:00,1639,COVER_SHORT,19098.09,6.829909,Buy Signal Trigger,0.00,145102.25
1400,2022-09-25 04:00:00,1639,BUY,19098.09,3.038791,Buy 4H,0.00,145096.45
1400,2022-09-28 16:00:00,1660,BUY,19412.82,3.009109,Buy 4H,0.00,146047.00
1400,2022-10-26 00:00:00,1824,BUY,20771.59,1.378679,Buy 1D,0.00,154261.85
1400,2022-10-27 00:00:00,1830,SELL,20295.11,7.426579,SL UP Full,5635.49,150708.16
1400,2022-10-27 00:00:00,1830,SHORT,20295.11,7.425836,Short on Stop (SL UP),0.00,150693.09
1400,2022-10-29 00:00:00,1842,COVER_SHORT,20809.67,7.425836,Buy Signal Trigger,0.00,146856.60
1400,2022-10-29 00:00:00,1842,BUY,20809.67,7.056427,Buy 1D,0.00,146841.91
1400,2022-11-02 00:00:00,1866,SELL,20151.84,7.056427,SL UP Full,-4641.93,142185.76
1400,2022-11-02 00:00:00,1866,SHORT,20151.84,7.055721,Short on Stop (SL UP),0.00,142171.54
1400,2022-11-04 20:00:00,1883,COVER_SHORT,21148.52,7.055721,Buy Signal Trigger,0.00,135124.32
1400,2022-11-04 20:00:00,1883,BUY,21148.52,2.555466,Buy 4H,0.00,135118.92
1400,2022-11-05 00:00:00,1884,BUY,21299.37,3.806051,Buy 1D,0.00,135496.30
1400,2022-11-07 00:00:00,1896,SELL,20591.13,6.361517,SL UP Full,-4119.99,130977.72
1400,2022-11-07 00:00:00,1896,SHORT,20591.13,6.360881,Short on Stop (SL UP),0.00,130964.63
1400,2022-12-10 12:00:00,2097,COVER_SHORT,17207.70,6.360881,Buy Signal Trigger,0.00,152475.28
1400,2022-12-10 12:00:00,2097,BUY,17207.70,3.543995,Buy 4H,0.00,152469.18
1400,2022-12-16 00:00:00,2130,SELL,16632.12,3.543995,SL DOWN Full,-2039.85,150423.43
1400,2022-12-16 00:00:00,2130,SHORT,16632.12,9.044152,Short on Stop (SL DOWN),0.00,150408.39
1400,2022-12-22 00:00:00,2166,COVER_SHORT,16821.43,9.044152,Buy Signal Trigger,0.00,148681.02
1400,2022-12-22 00:00:00,2166,BUY,16821.43,3.535161,Buy 4H,0.00,148675.08
1400,2022-12-24 04:00:00,2179,BUY,16848.26,3.531642,Buy 4H,0.00,148763.98
