time,open,high,low,close,Plot,Plot,Plot,Plot,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1466841600,14.25833774,14.31891998,14.15382018,14.23826042,NaN,NaN,NaN,NaN,1440.07865374,NaN,NaN,NaN,NaN,NaN,NaN
1466856000,14.2382081,14.64991533,14.23637663,14.61447169,NaN,NaN,NaN,NaN,1813.07988058,NaN,NaN,NaN,NaN,NaN,NaN
1466870400,14.6268582,14.690453,14.02566166,14.26995659,NaN,NaN,NaN,NaN,5208.84453612,NaN,NaN,NaN,NaN,NaN,NaN
1466884800,14.25009869,14.44847976,14.18195949,14.31097402,NaN,NaN,NaN,NaN,2695.75837625,NaN,NaN,NaN,NaN,NaN,NaN
1466899200,14.30529806,14.42392048,14.28228941,14.35824627,NaN,NaN,NaN,NaN,951.47103106,NaN,NaN,NaN,NaN,NaN,NaN
1466913600,14.35824627,14.4149087,14.17464239,14.24665731,NaN,NaN,NaN,NaN,1007.20487882,NaN,NaN,NaN,NaN,NaN,NaN
1466928000,14.24692749,14.2736376,14.10408689,14.22781939,NaN,NaN,NaN,NaN,646.15154733,NaN,NaN,NaN,NaN,NaN,NaN
1466942400,14.22657732,14.44412752,13.73242914,14.17170454,NaN,NaN,NaN,NaN,2724.77179035,NaN,NaN,NaN,NaN,NaN,NaN
1466956800,14.17023823,14.30891246,13.8957465,13.9438673,NaN,NaN,NaN,NaN,1922.95508887,NaN,NaN,NaN,NaN,NaN,NaN
1466971200,13.95506066,14.06810742,13.95500606,14.06238937,NaN,NaN,NaN,NaN,1394.7479153,NaN,NaN,NaN,NaN,NaN,NaN
1466985600,13.91047618,14.43892944,13.73278755,14.08268568,NaN,NaN,NaN,NaN,4295.35443649,NaN,NaN,NaN,NaN,NaN,NaN
1467000000,14.08257702,14.19003658,14.02134895,14.14109967,NaN,NaN,NaN,NaN,2200.84588977,NaN,NaN,NaN,NaN,NaN,NaN
1467014400,14.10603724,14.19941341,13.93657347,14.04088516,NaN,NaN,NaN,NaN,2826.34474351,NaN,NaN,NaN,NaN,NaN,NaN
1467028800,14.04165241,14.11106831,13.80587473,13.99659953,NaN,NaN,NaN,NaN,3321.78063107,NaN,NaN,NaN,NaN,NaN,NaN
1467043200,14.00731668,14.10609363,13.80417415,13.92671605,NaN,NaN,NaN,NaN,3887.26452176,40.47271339169758,NaN,NaN,NaN,NaN,NaN
1467057600,13.92241047,14.1453719,13.8725253,14.14273591,NaN,NaN,NaN,NaN,4426.82356998,47.88751395097615,NaN,NaN,NaN,NaN,NaN
1467072000,14.14262832,14.20191661,13.76583417,13.8780745,NaN,NaN,NaN,NaN,3236.10919133,41.128171979042136,NaN,NaN,NaN,NaN,NaN
1467086400,13.8801828,13.9525402,13.60092731,13.71871637,NaN,NaN,NaN,NaN,1914.76868747,37.67947339775415,NaN,NaN,NaN,NaN,NaN
1467100800,13.71866346,13.80320381,13.68529291,13.70165212,NaN,NaN,NaN,NaN,1532.43013824,37.318613192688765,NaN,NaN,NaN,NaN,NaN
1467115200,13.70165212,13.70752842,12.7552474,12.8321096,14.0452810745,NaN,NaN,NaN,3345.10594422,24.46223571141084,NaN,NaN,NaN,NaN,NaN
1467129600,12.8321096,13.07325777,11.70717677,12.00694057,13.851153407404762,NaN,NaN,NaN,3828.05230874,18.09242334243875,NaN,NaN,NaN,NaN,NaN
1467144000,12.00661632,12.40339254,11.9005818,12.31021917,13.704397765747165,NaN,NaN,NaN,3503.48486622,25.74551178983917,NaN,NaN,NaN,NaN,NaN
1467158400,12.29325797,12.42406504,11.57152458,12.1009056,13.551684226152197,NaN,NaN,NaN,4472.05301296,24.07366969948781,NaN,NaN,NaN,NaN,NaN
1467172800,12.11218597,12.18643693,11.92883632,12.17948654,13.42099873223294,NaN,NaN,NaN,2528.09745278,26.016056506986445,NaN,NaN,NaN,NaN,NaN
1467187200,12.17948654,12.2359592,11.7728769,11.96121548,13.281971755829803,NaN,NaN,NaN,2793.34593268,24.166685592592202,NaN,NaN,NaN,NaN,NaN
1467201600,11.96121548,12.3494171,11.80519769,12.3189506,13.190255455274583,NaN,NaN,NaN,3914.32164999,32.62063377744413,NaN,NaN,NaN,NaN,NaN
1467216000,12.33507191,12.60925148,12.31881922,12.5395201,13.128280659534147,NaN,NaN,NaN,4760.60049451,37.264517630142514,NaN,NaN,NaN,NaN,NaN
1467230400,12.55001773,13.03977597,12.52137888,12.85984755,13.102715601483276,NaN,NaN,NaN,4495.16990731,43.36891366140221,32.87836668742163,NaN,NaN,NaN,NaN
1467244800,12.86884418,12.86995493,12.51613328,12.57200032,13.052171288961059,NaN,NaN,NaN,3479.97026559,39.63659763905644,32.81864413366155,NaN,NaN,NaN,NaN
1467259200,12.59298022,12.73378452,12.57528025,12.59536944,13.008666350964768,NaN,NaN,NaN,1837.41853149,40.08739674230757,32.261492904470934,NaN,NaN,NaN,NaN
1467273600,12.58851813,12.71208153,12.18219449,12.37830572,12.9486320051586,NaN,NaN,NaN,4383.00484565,37.300901969613655,31.988116475226047,NaN,NaN,NaN,NaN
1467288000,12.37968151,12.63924309,12.33341326,12.43680211,12.899886300857782,NaN,NaN,NaN,6337.27920745,38.54073792523396,32.04963537004603,NaN,NaN,NaN,NaN
1467302400,12.43958934,12.54918211,12.34708293,12.39976448,12.852255651252278,NaN,NaN,NaN,4867.14503983,38.02798860215026,32.100305042150424,NaN,NaN,NaN,NaN
1467316800,12.39325427,12.61834449,12.32618855,12.43839552,12.812840400656823,NaN,NaN,NaN,2527.14415592,38.94045427158086,33.134463510734,NaN,NaN,NaN,NaN
1467331200,12.43416555,12.58351967,12.30938908,12.54263168,12.787106236784744,NaN,NaN,NaN,4297.33545854,41.445678380255224,34.80255315629232,NaN,NaN,NaN,NaN
1467345600,12.5426775,12.54730512,12.01957466,12.26124435,12.737024152329054,NaN,NaN,NaN,3244.28900282,37.0289087753898,35.608510083831646,NaN,NaN,NaN,NaN
1467360000,12.26242477,12.26764586,12.05847022,12.07445629,12.673922451154858,NaN,NaN,NaN,1780.11641026,34.407650764846295,36.34665158850011,NaN,NaN,NaN,NaN
1467374400,12.07458951,12.13433218,11.79453114,11.95932508,12.60586555866392,NaN,NaN,NaN,2869.16255848,32.86342660692678,36.83574945278156,NaN,NaN,NaN,NaN
1467388800,11.95959137,12.1467009,11.88814807,12.13968656,12.561467558791167,NaN,NaN,NaN,4482.2266479,37.58897323701976,37.79448428452639,NaN,NaN,NaN,NaN
1467403200,12.14239542,12.41035746,12.09612155,12.30640062,12.537175469382484,NaN,NaN,NaN,2476.17038,41.67552356282173,38.441262126339076,NaN,NaN,NaN,NaN
1467417600,12.30594577,12.31608876,11.99144109,12.10440611,12.495959339917485,NaN,NaN,NaN,1397.14143736,38.39514574937974,38.522021277713165,NaN,NaN,NaN,NaN
1467432000,12.10735222,12.21686571,12.0580799,12.08368234,12.456694863734867,NaN,NaN,NaN,1460.55391437,38.0641119152899,38.14310686727657,NaN,NaN,NaN,NaN
1467446400,12.08377134,12.22395811,11.95461168,11.98043072,12.411336373855356,NaN,NaN,NaN,4158.34135354,36.38110928562443,37.91057198488857,NaN,NaN,NaN,NaN
1467460800,11.9816734,12.09937687,11.9230838,12.06056292,12.377929378250084,NaN,NaN,NaN,3491.006301,38.64831266239851,37.80778026489507,NaN,NaN,NaN,NaN
1467475200,12.06056292,12.13715468,12.03883456,12.1176238,12.353138370797694,NaN,NaN,NaN,2259.21428667,40.28037792178101,38.02059997576416,NaN,NaN,NaN,NaN
1467489600,12.11753658,12.18341414,12.0140489,12.18228685,12.33686679738839,NaN,NaN,NaN,3119.54031728,42.158203229091725,38.278990354611146,NaN,NaN,NaN,NaN
1467504000,12.18358757,12.19945642,11.81056033,12.03868661,12.308468684303781,NaN,NaN,NaN,3146.91564598,39.209613413669196,38.3633921268625,NaN,NaN,NaN,NaN
1467518400,12.03337726,12.11254239,11.92635869,12.04907837,12.283764844846278,NaN,NaN,NaN,2741.61431086,39.53916622863719,38.40615726665224,NaN,NaN,NaN,NaN
1467532800,12.05119414,12.13026416,11.85994253,12.02938989,12.259538658670442,NaN,NaN,NaN,2731.35070239,39.106604596913044,38.23908056784207,NaN,NaN,NaN,NaN
1467547200,12.02934573,12.02969899,11.53300278,11.73219453,12.209315408320876,12.9533086282,NaN,NaN,4936.58976659,33.2019026685428,37.96572298878158,NaN,NaN,NaN,NaN
1467561600,11.73769995,11.82657889,11.50103967,11.77764646,12.168204079909364,12.907204229447059,NaN,NaN,2937.97097176,34.8227382701164,37.99537209630087,NaN,NaN,NaN,NaN
1467576000,11.77950229,12.01227631,11.66348509,11.7356016,12.12700384372752,12.861259028292272,NaN,NaN,1734.9059688,34.00085529944384,38.07661700290924,NaN,NaN,NaN,NaN
1467590400,11.738317,11.86564623,11.49725981,11.84465966,12.100113921467756,12.821392386398458,NaN,NaN,2389.47811428,38.08298337324643,38.11190344121114,NaN,NaN,NaN,NaN
1467604800,11.8466882,11.91845845,11.78590962,11.83549654,12.074912266089875,12.782729804186753,NaN,NaN,1807.81282011,37.871037089173086,37.840154407379096,NaN,NaN,NaN,NaN
1467619200,11.83628817,11.85058134,11.52030093,11.59330128,12.029044553128934,12.736085548336291,NaN,NaN,2292.98408276,32.69205907638761,37.43279107359394,NaN,NaN,NaN,NaN
1467633600,11.59068081,11.65243607,11.35343901,11.51736321,11.980312996640464,12.688292515460358,NaN,NaN,3306.37397316,31.249103278646118,36.9460047424051,NaN,NaN,NaN,NaN
1467648000,11.52714233,11.54059688,11.35445329,11.43134527,11.928030356008039,12.639000466618775,NaN,NaN,1777.64410546,29.652537618924526,36.46539248049796,NaN,NaN,NaN,NaN
1467662400,11.39288802,11.53896914,11.3583742,11.4494862,11.882454722102512,12.59235284832,NaN,NaN,1831.52213932,30.459479680657154,35.88047583894501,NaN,NaN,NaN,NaN
1467676800,11.45567609,11.4907274,11.40025676,11.44843284,11.841119304759415,12.547493240150587,NaN,NaN,1760.05042533,30.437647005544505,35.1774236306424,NaN,NaN,NaN,NaN
1467691200,11.44944497,11.4670248,10.92307327,10.9271168,11.75407144716328,12.483949066027034,NaN,NaN,1781.15306935,22.023925263462885,33.73926091881178,NaN,NaN,NaN,NaN
1467705600,10.93343102,10.9478946,9.9666389,10.29853406,11.615448838862015,12.39824651677107,NaN,NaN,2215.67058268,16.20668198349206,32.09619438808484,NaN,NaN,NaN,NaN
1467720000,10.31838925,10.3373494,9.75578938,9.87595812,11.449783056113251,12.29933324630946,NaN,NaN,2277.89693737,13.60503099601263,30.243756157183082,NaN,NaN,NaN,NaN
1467734400,9.8776911,10.07150981,9.82539589,9.97714788,11.309532086959608,12.208267153513011,NaN,NaN,2454.90621166,17.039372182016194,28.667525270404735,NaN,NaN,NaN,NaN
1467748800,9.96259524,10.56256932,9.92513413,10.56205596,11.238343884392027,12.14370985180662,NaN,NaN,2360.58311851,33.495928419126955,28.688527109732174,NaN,NaN,NaN,NaN
1467763200,10.55787016,10.60817006,10.29964537,10.38523256,11.157095186830881,12.074749958010282,NaN,NaN,2505.37691754,31.46395931761583,28.448614327410706,NaN,NaN,NaN,NaN
1467777600,10.38879749,11.07794074,10.37120287,11.02424936,11.144443203323178,12.033553856127526,NaN,NaN,1417.13025417,44.55428107046413,29.202430453912154,NaN,NaN,NaN,NaN
1467792000,11.02394249,11.02721579,10.72354387,10.79033927,11.11071901919716,11.984800342946054,NaN,NaN,1632.23382804,41.4345624165265,29.441828957003587,NaN,NaN,NaN,NaN
1467806400,10.79029906,10.81772051,10.43096134,10.78981238,11.080156482130764,11.937938069889345,NaN,NaN,2498.547924,41.42752569007936,29.69586385706832,NaN,NaN,NaN,NaN
1467820800,10.79321094,10.79887653,10.53278467,10.57118006,11.03168253716593,11.884339716560351,NaN,NaN,2263.97423662,38.505339031132365,30.111098139550087,NaN,NaN,NaN,NaN
