time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1373909400,64.4,64.475,64.38,64.43,0,0,0,0,0,0,0,64.09910618848858,63.128525513932736,62.1481000000002,60.675199999999975,75.56788151463988,67.3981681614678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17616659.571611874,NaN,NaN,NaN
1373981400,64.48,64.49,63.91,63.935,0,0,0,0,0,0,0,64.09913054534901,63.20533260784391,62.17340000000019,60.708174999999976,65.0500001376702,68.09003210853454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17545379.14057739,NaN,NaN,NaN
1373995800,63.93,64.12,63.93,64.08,0,0,0,0,0,0,0,64.09384045033462,63.288634264239725,62.203400000000194,60.74462499999997,66.52002160470437,68.66099012322519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17556820.298472125,NaN,NaN,NaN
1374067800,64.28,64.45,64.16,64.28,0,0,0,0,0,0,0,64.16356518800325,63.383050048597845,62.23600000000019,60.78192499999997,68.48876280560016,69.19546217701416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17546974.95364454,NaN,NaN,NaN
1374082200,64.28,64.32,64.17,64.25,0,0,0,0,0,0,0,64.1897995491323,63.46561671063615,62.27660000000019,60.81687499999998,67.84430747956594,69.64849150854076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17549148.020311207,NaN,NaN,NaN
1374154200,64.45,64.83,64.43,64.65,0,0,0,0,0,0,0,64.36625247218223,63.57841511914699,62.33050000000019,60.85312499999997,71.67181199818646,70.03216564932117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17563749.72031121,NaN,NaN,NaN
1374168600,64.65,64.825,64.65,64.74,0,0,0,0,0,0,0,64.46686272613086,63.6890422506568,62.391500000000185,60.89082499999998,72.46594851475518,70.5209623512895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17564890.03459692,NaN,NaN,NaN
1374240600,64.68,64.73,64.57,64.67,0,0,0,0,0,0,0,64.53306954063429,63.78246679821329,62.45770000000019,60.93292499999997,70.80341357607006,70.95461745000841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17576027.53459692,NaN,NaN,NaN
1374255000,64.71,64.88,64.71,64.88,0,0,0,0,0,0,0,64.6099216044931,63.88699376981202,62.51630000000019,60.97527499999997,72.8181651657683,71.41627967900997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17600137.53459692,NaN,NaN,NaN
1374499800,65.03,65.1,64.83,64.93,0,0,0,0,0,0,0,64.72597206626429,63.986327696496595,62.56550000000019,61.01677499999997,73.29075720108037,71.52174740672727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17585392.164226554,NaN,NaN,NaN
1374514200,64.92,65.01,64.9,64.98,0,0,0,0,0,0,0,64.79029936319044,64.08096315397312,62.62270000000019,61.05547499999997,73.7816622136909,71.52032610179776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17600474.89149928,NaN,NaN,NaN
1374586200,65.13,65.14,64.8,64.91,0,0,0,0,0,0,0,64.82666277585132,64.15991904407092,62.678400000000195,61.09297499999997,71.79224378514297,71.43337305983779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17591208.77385222,NaN,NaN,NaN
1374600600,64.92,64.97,64.82,64.84,0,0,0,0,0,0,0,64.84419608892821,64.22468865892131,62.719000000000186,61.128324999999975,69.76638755654542,71.09143777763873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17581031.573852222,NaN,NaN,NaN
1374672600,65.04,65.04,64.33,64.35,0,0,0,0,0,0,0,64.7288463063498,64.23662307235738,62.75360000000019,61.16272499999997,57.52872284626629,69.81357759997762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17561724.24990856,NaN,NaN,NaN
1374687000,64.28,64.41,64.26,64.38,0,0,0,0,0,0,0,64.63672571161356,64.25027801784715,62.78000000000019,61.19677499999998,58.014305885991696,68.5597507693599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17571974.649908558,NaN,NaN,NaN
1374759000,64.3,64.63,64.3,64.58,0,0,0,0,0,0,0,64.58674899585662,64.28168011138551,62.80980000000019,61.232024999999986,61.19924943804969,68.28469714795843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17582646.649908558,NaN,NaN,NaN
1374773400,64.61,64.715,64.51,64.715,0,0,0,0,0,0,0,64.60249231860281,64.32294867220594,62.84410000000019,61.26789999999998,63.22701499965984,68.04948239045525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17625261.649908558,NaN,NaN,NaN
1374845400,64.43,64.53,64.13,64.52,1,0,0,0,0,0,0,64.53716075839098,64.34171546532919,62.888900000000184,61.301499999999976,58.47342546047619,67.33410115151783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17652985.499908555,NaN,NaN,NaN
1374859800,64.51,64.66,64.44,64.66,0,0,0,0,0,0,0,64.54583799177236,64.37202827815499,62.96110000000019,61.33244999999998,60.75473577927944,66.82770317292592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17667548.499908555,NaN,NaN,NaN
1375104600,64.6,64.61,64.3,64.4,0,0,0,0,0,0,0,64.49439797679858,64.37469225166403,63.03550000000019,61.36244999999998,54.74029334361702,65.61830898331382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17657696.048295654,NaN,NaN,NaN
1375119000,64.41,64.53,64.4,64.44,0,0,0,0,0,0,0,64.48668996035649,64.38091203721983,63.116100000000195,61.392199999999974,55.4706465698557,64.40435884439243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17654448.355987962,NaN,NaN,NaN
1375191000,64.63,64.75,64.59,64.59,0,0,0,0,0,0,0,64.54033104685608,64.40082517653222,63.198100000000196,61.42279999999998,58.195011473560434,63.50375869421317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17640425.355987962,NaN,NaN,NaN
1375205400,64.45,64.68,64.42,64.62,0,0,0,0,0,0,0,64.55742475438785,64.42169896924344,63.29970000000019,61.45269999999998,58.73873250437806,62.498084932685295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17649618.509834114,NaN,NaN,NaN
1375277400,64.78,65.025,64.74,64.77,0,0,0,0,0,0,0,64.66227719631522,64.45487049598216,63.400100000000194,61.48339999999998,61.43925690215499,61.651549197047764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17573832.983518325,NaN,NaN,NaN
1375291800,64.76,65.2,64.67,64.74,0,0,0,0,0,0,0,64.72309894066797,64.482025686841,63.48970000000019,61.512699999999974,60.585200080462286,60.70894475896001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17531236.8891787,NaN,NaN,NaN
1375363800,65.38,65.62,65.38,65.57,0,0,0,0,0,0,0,64.99969671611515,64.58564228809423,63.59230000000019,61.54549999999998,72.128738611908,60.73298010372894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17549008.722512033,NaN,NaN,NaN
1375378200,65.56,65.75,65.56,65.69,0,0,0,0,0,0,0,65.17114780000365,64.69081921303764,63.686700000000194,61.57789999999999,73.34424823906356,60.98854158105167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17556783.511985715,NaN,NaN,NaN
1375450200,65.55,65.72,65.45,65.72,0,0,0,0,0,0,0,65.33165313035347,64.78883643084357,63.780300000000196,61.61039999999999,73.65359659194829,62.14031827717181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17613148.511985715,NaN,NaN,NaN
1375464600,65.65,65.795,65.63,65.78,1,0,0,0,0,0,0,65.43169083480124,64.88323296123943,63.863100000000195,61.643824999999985,74.29609298401995,63.303303069888116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17635797.421076626,NaN,NaN,NaN
1375709400,65.62,65.8,65.58,65.68,0,0,0,0,0,0,0,65.53135052412387,64.95911553635949,63.945700000000194,61.676374999999986,71.18047865178376,64.01624801372625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17632888.42107663,NaN,NaN,NaN
1375723800,65.65,65.72,65.65,65.72,0,0,0,0,0,0,0,65.57621782150584,65.03158072337287,64.0281000000002,61.70827499999999,71.69184709542095,64.6208788777092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17653171.42107663,NaN,NaN,NaN
1375795800,65.63,65.63,65.13,65.34,0,0,0,0,0,0,0,65.48313019120872,65.06095398781355,64.1065000000002,61.738274999999994,60.676976883057414,64.77827540789357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17645417.82107663,NaN,NaN,NaN
1375810200,65.22,65.315,65.22,65.285,0,0,0,0,0,0,0,65.43545513243716,65.08229170325987,64.1714000000002,61.76659999999999,59.257856210715104,64.67135543871039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17650859.400024,NaN,NaN,NaN
1375882200,65.09,65.09,64.76,65.03,0,0,0,0,0,0,0,65.26022793133696,65.07731154104465,64.2368000000002,61.793249999999986,53.06149089324525,64.55144097796955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17676051.763660364,NaN,NaN,NaN
