

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1800,2021-05-19 00:00:00,888,SHORT,2445.54,30.418930,Short on Stop (SL DOWN),0.00,74383.36
1800,2021-07-04 00:00:00,1164,COVER_SHORT,2323.08,30.418930,Buy Signal Trigger,0.00,78101.59
1800,2021-07-04 00:00:00,1164,BUY,2323.08,33.616533,Buy 1D,0.00,78093.78
1800,2021-07-05 00:00:00,1170,SELL,2196.35,33.616533,SL UP Full,-4260.00,73826.40
1800,2021-07-05 00:00:00,1170,SHORT,2196.35,33.613172,Short on Stop (SL UP),0.00,73819.02
1800,2021-07-24 00:00:00,1284,COVER_SHORT,2186.66,33.613172,Buy Signal Trigger,0.00,74137.57
1800,2021-07-24 00:00:00,1284,BUY,2186.66,33.901127,Buy 1D,0.00,74130.15
1800,2021-09-01 00:00:00,1518,SELL,3830.07,16.950563,TP After,27856.77,129837.21
1800,2021-09-01 00:00:00,1518,SELL,3830.07,16.950563,TP Fixed,27856.77,129830.72
1800,2021-09-01 00:00:00,1518,BUY,3830.07,33.894347,Buy 1D,0.00,129817.73
1800,2021-09-07 00:00:00,1554,SELL,3434.86,33.894347,SL DOWN Full,-13395.34,116410.75
1800,2021-09-07 00:00:00,1554,SHORT,3434.86,33.890958,Short on Stop (SL DOWN),0.00,116399.11
1800,2021-10-02 00:00:00,1704,COVER_SHORT,3389.29,33.890958,Buy Signal Trigger,0.00,117932.23
1800,2021-10-02 00:00:00,1704,BUY,3389.29,34.792118,Buy 1D,0.00,117920.44
1800,2022-01-07 00:00:00,2286,SELL,3196.50,34.792118,SL DOWN Full,-6707.43,111201.88
1800,2022-01-07 00:00:00,2286,SHORT,3196.50,34.788639,Short on Stop (SL DOWN),0.00,111190.76
1800,2022-02-05 00:00:00,2460,COVER_SHORT,3015.62,34.788639,Buy Signal Trigger,0.00,117472.84
1800,2022-02-05 00:00:00,2460,BUY,3015.62,38.950894,Buy 1D,0.00,117461.09
1800,2022-02-12 00:00:00,2502,SELL,2953.89,38.950894,SL UP Full,-2404.44,115045.15
1800,2022-02-12 00:00:00,2502,SHORT,2953.89,38.946999,Short on Stop (SL UP),0.00,115033.65
1800,2022-02-15 00:00:00,2520,COVER_SHORT,3185.75,38.946999,Buy Signal Trigger,0.00,105990.99
1800,2022-02-15 00:00:00,2520,BUY,3185.75,33.267013,Buy 1D,0.00,105980.39
1800,2022-02-17 00:00:00,2532,SELL,2893.90,33.267013,SL DOWN Full,-9708.98,96261.78
1800,2022-02-17 00:00:00,2532,SHORT,2893.90,33.263687,Short on Stop (SL DOWN),0.00,96252.16
1800,2022-03-17 00:00:00,2700,COVER_SHORT,2814.45,33.263687,Buy Signal Trigger,0.00,98885.59
1800,2022-03-17 00:00:00,2700,BUY,2814.45,35.131449,Buy 1D,0.00,98875.71
1800,2022-04-30 00:00:00,2964,SELL,2728.07,35.131449,SL DOWN Full,-3034.65,95831.47
1800,2022-04-30 00:00:00,2964,SHORT,2728.07,35.127936,Short on Stop (SL DOWN),0.00,95821.88
1800,2022-07-07 00:00:00,3372,COVER_SHORT,1236.97,35.127936,Buy Signal Trigger,0.00,148196.80
1800,2022-07-07 00:00:00,3372,BUY,1236.97,119.794324,Buy 1D,0.00,148181.98
1800,2022-07-10 00:00:00,3390,SELL,1167.15,119.794324,SL DOWN Full,-8364.04,139803.96
1800,2022-07-10 00:00:00,3390,SHORT,1167.15,119.782344,Short on Stop (SL DOWN),0.00,139789.98
1800,2022-07-15 00:00:00,3420,COVER_SHORT,1231.08,119.782344,Buy Signal Trigger,0.00,132117.55
1800,2022-07-15 00:00:00,3420,BUY,1231.08,107.307681,Buy 1D,0.00,132104.34
1800,2022-08-13 00:00:00,3594,SELL,1984.39,53.653840,TP After,40417.97,212929.64
1800,2022-08-13 00:00:00,3594,BUY,1984.39,53.643110,Buy 1D,0.00,212919.00
1800,2022-08-14 00:00:00,3600,SELL,1935.86,107.296950,SL UP Full,35210.85,207691.10
