time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1504224000,4689.89,4885.55,4654.88,4834.91,4772.110620972077,NaN,NaN,NaN,70.6794655907821,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2044.1075585131216,46.51,NaN,NaN
1504310400,4796.16,4939.19,4286.87,4472.14,4530.342468183936,NaN,NaN,NaN,53.884720079742976,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1642.7470435831806,NaN,NaN,NaN
1504396800,4508.5,4714.76,4298.33,4509.08,4507.77532621777,NaN,NaN,NaN,55.05584599074014,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1651.162542283706,NaN,NaN,NaN
1504483200,4505,4527.49,3972.51,4100.11,4208.30473510933,NaN,NaN,NaN,42.26003453900124,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,897.8262736165086,NaN,NaN,NaN
1504569600,4106.97,4484.99,3603,4366.47,4272.13138766812,4328.539,NaN,NaN,50.35319153107059,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1796.4800728173514,42.09,NaN,NaN
1504656000,4366.49,4662.87,4335.26,4619.77,4472.297136110441,4356.275285714286,NaN,NaN,56.58522612592333,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2391.412086778039,43.26,NaN,NaN
1504742400,4619.77,4788.59,4438.19,4691.61,4638.274428653142,4388.211925170068,NaN,NaN,58.18829511861674,NaN,NaN,NaN,NaN,NaN,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2614.8346475343164,44.25,NaN,NaN
1504828800,4691.66,4735.39,4028.93,4282.8,4378.797723769299,4378.17269420149,NaN,NaN,47.450898785420655,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2296.3428394473476,43.59,NaN,NaN
1504915200,4282.8,4426.62,4150.06,4258.81,4278.254761650653,4366.804818563253,NaN,NaN,46.90392568983139,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2155.6582822260584,NaN,NaN,NaN
1505001600,4258.81,4283,3801,4130.37,4164.699129828546,4344.287216795325,NaN,NaN,43.98085118876622,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2397.8042835196266,NaN,NaN,NaN
1505088000,4153.62,4334.43,4098.91,4208.47,4199.222439937799,4331.352243767198,NaN,NaN,46.17735104920699,NaN,NaN,NaN,NaN,NaN,104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2349.0618384364075,48.25,NaN,NaN
1505174400,4208.6,4394.59,4040.8,4163.72,4220.955698625884,4315.387268170322,NaN,NaN,45.08649403362089,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2080.665069347259,50.74,NaN,NaN
1505260800,4159.72,4165.38,3760,3944.69,3934.035430723765,4280.082766439816,NaN,NaN,40.09404200177548,51.754186836254185,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999.544511796319,53.91,NaN,NaN
