time,open,high,low,close,Plot,Plot,Plot,Plot,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1444262400,0.61289614,0.63597482,0.58334453,0.62741651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444348800,0.627552,0.6984398,0.62107204,0.65166901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444435200,0.65294095,0.65734787,0.62384545,0.62970379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444521600,0.62973582,0.6493357,0.62106198,0.63685943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444608000,0.63786699,0.66127561,0.62734348,0.63113826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444694400,0.63095494,0.64645645,0.58890516,0.60727751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444780800,0.60802435,0.62458536,0.48016998,0.53006594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444867200,0.530245,0.5779026,0.51800192,0.56075117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444953600,0.56113961,0.59775253,0.50937656,0.5362472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445040000,0.53777643,0.58294384,0.51317544,0.55105452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445126400,0.54860744,0.55663103,0.50741483,0.51365384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445212800,0.51748594,0.53244699,0.47926852,0.49150193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445299200,0.49214226,0.51865867,0.42639906,0.43704512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445385600,0.4366837,0.48815496,0.42240821,0.44577844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445472000,0.44562507,0.61794642,0.42136542,0.58710942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445558400,0.58482953,0.62335216,0.50866359,0.52658704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445644800,0.5271344,0.58531806,0.52114354,0.57545978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445731200,0.57636435,0.70058759,0.56063679,0.63946375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445817600,0.64057214,0.76226702,0.59545927,0.75576806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445904000,0.75587974,0.91443176,0.72568927,0.87300238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445990400,0.87465354,1.07571668,0.79525691,1.01067399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446076800,1.00987533,1.21743408,0.90750255,1.16926006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446163200,1.16929239,1.40422994,0.96187535,1.04804375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446249600,1.04834704,1.06681582,0.87981603,0.90230425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446336000,0.90812607,1.08259109,0.87260139,1.06326482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446422400,1.06325667,1.22626505,0.85199116,0.97018608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446508800,0.96400834,1.20532097,0.80834397,1.01792709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446595200,1.01891997,1.2594194,0.5786387,0.93036063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446681600,0.92258324,1.1443935,0.76832111,0.90648443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446768000,0.90901053,1.04370815,0.80696605,0.90783052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446854400,0.91451731,0.97007042,0.82947531,0.917839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446940800,0.91204164,1.0789822,0.86054053,1.03274513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447027200,1.03261848,1.16197551,0.89510873,0.9942456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447113600,0.9943383,1.07863018,0.78537957,0.92997125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447200000,0.92874361,0.97053215,0.71812082,0.80682023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447286400,0.80971208,0.94055974,0.74224928,0.90710311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447372800,0.90231106,0.92682355,0.84424265,0.90129223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447459200,0.90194251,0.93567609,0.8716439,0.90266898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447545600,0.90324588,0.97322238,0.84443521,0.91288406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447632000,0.91359898,0.98704327,0.86945757,0.93693806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447718400,0.9423961,1.05010784,0.89584489,0.99486508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447804800,0.9948056,1.02096951,0.93632974,0.98889727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447891200,0.993535,1.01153625,0.93087596,0.95360114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447977600,0.95171463,0.9631091,0.87475374,0.92581276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448064000,0.92780915,0.98667687,0.91246678,0.9757563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448150400,0.97739517,0.99509272,0.94937622,0.965963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448236800,0.9638448,0.97880849,0.92642618,0.94635332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448323200,0.94366257,0.95739276,0.89329231,0.91282033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448409600,0.91266365,0.94216277,0.83391754,0.87145456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
