time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1503849600,4290.01,4386.79,4290.01,4310.01,4328.0972318073655,4247.186827493182,NaN,NaN,52.720155247849505,52.15185171816275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,454.6124423519522,NaN,NaN,NaN
1503878400,4310.01,4330.36,4124.54,4261.9,4280.780662896603,4248.588082017641,NaN,NaN,49.514939026320135,52.232116669616246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510.74895436098905,NaN,NaN,NaN
1503907200,4261.9,4365.4,4226.93,4273.59,4284.2721398878275,4250.96921706358,NaN,NaN,50.30553125558803,52.644974975329156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,431.3262388792965,NaN,NaN,NaN
1503936000,4317.2,4399.82,4273.59,4386.69,4313.592965184863,4263.895005914667,NaN,NaN,57.27644648057379,53.400698327819974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,583.8341272232713,NaN,NaN,NaN
1503964800,4353.65,4404.07,4313.55,4329.02,4333.885981190672,4270.097386303747,NaN,NaN,53.180045306950056,53.602716737006276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,447.37734434501385,NaN,NaN,NaN
1503993600,4328.12,4625.85,4328.12,4570,4404.6497263012325,4298.659539989105,NaN,NaN,64.57975335698573,54.293413461095106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,582.8500225433811,NaN,NaN,NaN
1504022400,4569.65,4624.99,4496.95,4587.48,4496.922297545093,4326.166250466333,NaN,NaN,65.24086799689005,54.98792466296777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,657.1417902323839,NaN,NaN,NaN
1504051200,4564.52,4647.51,4527.45,4550.02,4543.634578967322,4347.485655183825,NaN,NaN,62.546605140648296,55.27374052940089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,489.294730791107,NaN,NaN,NaN
1504080000,4550,4597,4416.01,4546.77,4540.769977540355,4366.465116594889,NaN,NaN,62.306195577825626,56.015212204238935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,640.2035231761573,NaN,NaN,NaN
1504108800,4555,4609.92,4516.87,4555.14,4549.798567008271,4384.434153109662,NaN,NaN,62.703789270962716,56.64732081861632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,604.6592087612207,NaN,NaN,NaN
1504137600,4555.14,4628.12,4555.14,4592.16,4570.3199484817405,4404.217567099217,NaN,NaN,64.4879770737698,57.58828200822652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,607.7478466669469,NaN,NaN,NaN
1504166400,4603.58,4685.55,4572.64,4648.82,4614.569150210256,4427.513036899292,NaN,NaN,67.08344170445652,58.48426901296997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,684.2202639612501,NaN,NaN,NaN
1504195200,4648.82,4745.42,4638.98,4724.89,4660.418577330814,4455.8346524326935,NaN,NaN,70.22937286687724,59.707249222280815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,761.2677991566662,NaN,NaN,NaN
1504224000,4689.89,4767,4654.88,4707.5,4680.614927642557,4479.802780772437,NaN,NaN,68.61492422924947,60.770717466781925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750.4143038787495,NaN,NaN,NaN
