time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1266330600,38.92,39.33501,38.78,39.28,0,0,0,0,0,0,0,38.77709422631855,38.8948770729965,39.36945260000002,35.63222204999999,52.653548180056795,42.56407370886344,NaN,NaN,NaN,NaN,100,104.34,228,228,NaN,NaN,NaN,NaN,75153357.4884101,58.5,NaN,NaN
1266417000,39.58,39.61,39.31,39.53,0,0,0,0,0,0,0,39.126563347646226,38.95536497080636,39.39565260000002,35.68212204999999,54.83495609612978,43.446731971019354,NaN,NaN,NaN,NaN,115,104.54,228,228,NaN,NaN,NaN,NaN,75630830.28841011,62,NaN,NaN
1266503400,39.47,39.82001,39.42999,39.8,0,0,0,0,0,0,0,39.39600306904301,39.03580640215813,39.419452600000014,35.72645409999999,57.13210949913782,44.75433487248898,NaN,NaN,NaN,NaN,109,104.46,228,228,NaN,NaN,NaN,NaN,76629069.7376691,64.33,NaN,NaN
1266589800,39.74001,40.08,39.603,39.98,1,0,0,0,0,0,0,39.67747210351877,39.12572960195259,39.44745260000001,35.771904099999986,58.64231888836522,46.44173931433047,NaN,NaN,NaN,NaN,148,105.16,228,228,NaN,NaN,NaN,NaN,76935402.1213169,66.17,NaN,NaN
1266849000,40.14,40.14,39.84,39.95,0,0,0,0,0,0,0,39.8206924163293,39.204231544623774,39.48145260000001,35.81420404999999,58.27384041053636,47.5225284241759,NaN,NaN,NaN,NaN,137,106.26,228,228,NaN,NaN,NaN,NaN,76698075.45465024,66.5,NaN,NaN
1266935400,39.91,39.96001,39.31,39.38,0,0,0,0,0,0,0,39.63330780684168,39.22097139751675,39.50265240000001,35.85725404999999,51.63511881385207,47.68768640176702,NaN,NaN,NaN,NaN,90,106.78,228,228,NaN,NaN,NaN,NaN,75553668.28319134,64,NaN,NaN
1267021800,39.50999,39.8,39.39999,39.78,0,0,0,0,0,0,0,39.662925705390876,39.27421221680087,39.526252200000016,35.89590404999999,55.46903603356903,48.29951897106279,NaN,NaN,NaN,NaN,113,106.92,228,228,NaN,NaN,NaN,NaN,75972434.94639976,66.33,NaN,NaN
1267108200,39.25,39.85001,39.06,39.85001,1,0,0,0,0,0,0,39.583338166530226,39.32905010091507,39.54665240000001,35.93960409999999,56.12460504279919,49.66243983954576,NaN,NaN,NaN,NaN,102,107.5,228,228,NaN,NaN,NaN,NaN,76511801.94639976,65.17,NaN,NaN
1267194600,39.85001,39.96851,39.56,39.82001,0,0,0,0,0,0,0,39.717601732851975,39.37580818654221,39.55665240000001,35.985454199999985,55.74588785498881,50.921911076465065,NaN,NaN,NaN,NaN,105,107.32,228,228,NaN,NaN,NaN,NaN,76631553.1116344,62.67,NaN,NaN
1267453800,39.98,40.48,39.98,40.48,0,0,0,0,0,0,0,40.06167908094742,39.48096931163342,39.583052400000014,36.04134119999999,61.845573235870724,52.7542332626067,NaN,NaN,NaN,NaN,180,108.34,228,228,NaN,NaN,NaN,NaN,77550260.1116344,70.5,NaN,NaN
1267540200,40.75,40.81,40.53,40.59,0,0,0,0,0,0,0,40.35898312074509,39.58659128195405,39.60825240000001,36.095041149999986,62.76671230352399,54.20620646619114,NaN,NaN,NaN,NaN,225,109.86,228,228,NaN,NaN,NaN,NaN,76761038.96877728,73.5,NaN,NaN
1267626600,40.77,40.97,40.57001,40.72,0,0,0,0,0,0,0,40.5633829456872,39.694534969387,39.64565220000001,36.15149119999999,63.87666248991613,55.78625130932233,NaN,NaN,NaN,NaN,203,112.66,228,228,NaN,NaN,NaN,NaN,76511732.05852951,73.33,NaN,NaN
1267713000,40.78999,40.85001,40.53999,40.75999,0,0,0,0,0,0,0,40.637472818491695,39.79600687706443,39.683052,36.20184114999999,64.22991464018382,57.077456341277625,NaN,NaN,NaN,NaN,146,113.68,228,228,NaN,NaN,NaN,NaN,76790203.78983718,75.17,NaN,NaN
1267799400,41.07001,41.49001,40.9762,41.45,0,0,0,0,0,0,0,40.99360173689007,39.95353003162972,39.7240522,36.255341149999985,69.73030652239774,58.78289928652337,NaN,NaN,NaN,NaN,256,115.86,256,256,NaN,NaN,NaN,NaN,77652211.6639541,82,NaN,NaN
1268058600,41.50999,41.59,41.41,41.53,1,0,0,0,0,0,0,41.25578077392661,40.103670028617366,39.76265200000001,36.31029119999999,70.30052555075859,60.04339767014492,NaN,NaN,NaN,NaN,253,117.3,256,256,NaN,NaN,NaN,NaN,78474417.99728742,81.67,NaN,NaN
1268145000,41.33,41.74001,41.31,41.53,0,0,0,0,0,0,0,41.426111176825565,40.239510978272854,39.79625180000001,36.36829124999999,70.30052555075859,61.1480812026184,NaN,NaN,NaN,NaN,209,117.4,256,256,NaN,NaN,NaN,NaN,78509997.36799973,82.17,NaN,NaN
