time,open,high,low,close,EMA,Volume,Index,Index
1523318400,6781.55,8012.23,6656,7923,8643.377365001945,111186.195259,18,18
1523577600,7922.99,8429.54,7732,8355,8615.912854049378,114611.682123,23,23
1523836800,8355.07,8419,7825.4,8173,8573.730677473248,95785.717852,NaN,NaN
1524096000,8173.99,9035,8080,8915.31,8606.262041523414,107781.414858,25,25
1524355200,8915.31,9731.01,8727.68,9619.99,8702.807561378328,101565.158295,31,31
1524614400,9618.96,9759.82,8651.62,8915.35,8723.049698389916,161651.68887,64,64
1524873600,8915.35,9570.51,8870,9246.01,8772.8554414004,107911.51233,54,54
1525132800,9246.01,9844,8800.49,9750,8865.916827933695,105910.395882,56,56
1525392000,9750,10020,9417.03,9659.01,8941.44951098763,81361.958783,56,56
1525651200,9661.02,9689.67,8965,9310,8976.549557560236,84994.9968,56,56
1525910400,9310,9395.12,8153,8465.94,8927.920075887832,113523.432589,63,63
1526169600,8475.44,8879.99,8277,8462,8883.546735327087,91149.492031,40,40
1526428800,8462,8488,7911.9,8239.81,8822.238474819746,80046.22803,32,32
1526688000,8238.01,8609,8095.73,8381.24,8780.238620075008,58667.077871,31,31
1526947200,8386.89,8400.18,7266.99,7575.01,8665.454941972626,104465.042126,30,30
1527206400,7578.99,7649.55,7231.11,7338.99,8539.124947499044,64910.988226,25,25
1527465600,7338.99,7569,7032.95,7375.96,8428.347333451517,98667.862106,22,22
1527724800,7382.07,7699,7327.51,7640.03,8353.26949217042,85755.617172,25,25
1527984000,7636.81,7786.69,7358,7625,8283.910492916095,91486.487044,40,40
1528243200,7626.64,7765,7467.05,7603.44,8219.103779305038,75689.023771,42,42
1528502400,7603.44,7683.98,6610,6872,8090.8081812759865,106234.067511,39,39
1528761600,6872,6890.51,6118.68,6635.98,7952.25311639256,127385.860128,19,19
1529020800,6638.67,6666.66,6320.86,6449.61,7809.144248164696,72142.81874,26,26
1529280000,6444.06,6841.74,6380,6761.51,7709.369557863297,82486.128232,27,27
1529539200,6763.21,6795,5918.94,6149.98,7560.856266638221,104209.01347,37,37
1529798400,6149.98,6350,5750,6070.78,7418.944241244105,105987.754745,15,15
1530057600,6065.89,6300,5780,6197.92,7302.656218268476,83722.224402,18,18
1530316800,6197.92,6685,6186.03,6615.29,7237.192768909573,101713.031078,22,22
1530576000,6615.29,6784.92,6441.11,6529.2,7169.76488615628,97301.647366,31,31
1530835200,6529.2,6818.16,6425,6712.1,7126.177754141397,77993.919428,34,34
1531094400,6712.1,6802.06,6263,6378.07,7054.9293966041205,94008.577739,39,39
1531353600,6378.07,6380.28,6070,6251.99,6978.458977879918,75465.060633,33,33
1531612800,6250.9,7468.99,6225.4,7317.44,7010.742884748497,111289.512047,32,32
1531872000,7317.44,7700,7225.38,7337.53,7041.865467153402,146846.213334,42,42
1532131200,7337.47,7833,7211,7721.01,7106.545898853078,100803.055402,43,43
1532390400,7721.65,8491.77,7696,7920,7184.017718009928,151602.294555,49,49
1532649600,7920,8294.51,7805,8211,7281.825554389935,95417.405915,47,47
1532908800,8210.99,8273,7430,7604.58,7312.564073019465,130571.645061,53,53
1533168000,7600.08,7709.46,6926,7009.84,7283.733208922373,118623.608741,39,39
1533427200,7009.84,7160,6670,6720.06,7230.050046167861,111093.514926,23,23
1533686400,6720.63,6721.54,6026.39,6144.01,7126.6176608185415,170526.696332,23,23
1533945600,6148.13,6545,5971,6246.35,7042.78264550249,139597.01805,18,18
1534204800,6248.25,6609,5880,6311.75,6973.160488787967,167508.686735,16,16
1534464000,6316,6620,6285.4,6477.53,6925.9575850938745,156784.780969,19,19
1534723200,6477.53,6882.54,6220,6360.89,6872.141624608744,168914.894027,26,26
1534982400,6362.57,6789,6342.28,6733.64,6858.950993693626,97884.348076,18,18
1535241600,6733.64,7135,6568,7076.11,6879.632803818042,106207.293118,19,19
1535500800,7077,7133.81,6784.81,7011.21,6892.163965359181,128436.66265,19,19
1535760000,7011.21,7345.45,7008.74,7263.02,6927.483587705926,112534.272816,21,21
1536019200,7263,7410,6265,6516.01,6888.295626972028,159580.720375,26,26
1536278400,6516.84,6544,6111,6250.81,6827.582710117549,114175.244041,17,17
1536537600,6252.26,6404,6169.68,6338.62,6781.014832963497,96977.990961,15,15
1536796800,6338.62,6584.99,6337.4,6514.96,6755.676277443164,102882.058996,20,20
1537056000,6514.96,6533.84,6201,6336.45,6715.749965305719,96176.254305,28,28
1537315200,6336.39,6784.86,6123,6759.02,6719.870920990889,116012.448273,24,24
1537574400,6759.01,6839.03,6557,6581.39,6706.6822618488995,94941.66035,35,35
1537833600,6581.42,6750,6325.02,6689.13,6705.0106178632905,106872.999819,37,37
1538092800,6689.12,6814.8,6464.57,6626.57,6697.540082828691,100420.132742,42,42
1538352000,6626.57,6667.09,6430,6510,6679.6791225592915,77319.28612,35,35
1538611200,6510.01,6697,6505.09,6594.27,6671.544920410787,47110.358601,29,29
1538870400,6596.44,6715.6,6525,6656.61,6670.1225470383315,55885.030772,29,29
1539129600,6656.67,6659.95,6205,6298.01,6634.683256844205,93101.367829,28,28
1539388800,6298,7680,6285.07,6752.5,6645.903899049519,125473.512585,15,15
1539648000,6752.5,6900,6567,6618.96,6643.3378134257555,74315.911084,24,24
1539907200,6618.96,6663.9,6505.55,6590.11,6638.268497861398,46528.680809,24,24
1540166400,6590.12,6639,6515.45,6565.5,6631.338164731741,42021.838393,27,27
1540425600,6566.81,6600,6463.04,6505.6,6619.363101423956,27563.113264,25,25
1540684800,6505.6,6514.17,6315,6330.87,6591.887567955008,28448.33318,35,35
1540944000,6330.01,6460.34,6245.02,6433.98,6576.848751959294,30987.364736,32,32
1541203200,6432.8,6525,6345,6468.99,6566.576489867933,27241.518575,36,36
1541462400,6468.99,6615.15,6445.18,6479.84,6558.315871785272,39457.946098,42,42
1541721600,6479.84,6511.53,6355,6449.81,6547.981979234294,27715.953626,47,47
1541980800,6450.71,6498,5656.87,5922.41,6488.403695497695,68402.311503,52,52
1542240000,5917.2,5939.54,5403.42,5628.29,6406.488105450295,112833.873088,28,28
1542499200,5630.49,5738.17,4326,4558.86,6230.523523978838,211806.843793,26,26
1542758400,4559.91,4787.2,4222.94,4420.61,6058.1508074094245,144974.86894,15,15
1543017600,4415.63,4527,3652.66,3862.2,5849.012635275194,257890.837361,15,15
1543276800,3864.45,4450.38,3689.12,4295.84,5701.091431915652,233444.37383,11,11
1543536000,4295.72,4341.36,3943,4161.01,5554.417009828447,151510.674554,19,19
1543795200,4160.55,4179,3745,3769.84,5384.45729460669,141588.720224,17,17
1544054400,3768.44,3899.99,3222,3410.93,5196.502314167958,218890.204334,13,13
1544313600,3411.36,3658,3324.32,3380.39,5023.539236628152,122867.002003,14,14
1544572800,3379.23,3492,3177,3224.17,4852.170737901662,118456.832106,14,14
1544832000,3225.19,3585,3156.26,3509.08,4724.2573342919795,121186.601671,11,11
1545091200,3509.03,4120,3424.47,4049.62,4660.006159597505,257050.792257,23,23
1545350400,4051.86,4139.99,3764,3929.71,4590.454144397742,165283.732513,35,35
1545609600,3929.71,4198,3646.41,3777.74,4513.0527973122435,170002.814378,25,25
1545868800,3777.74,3892,3535,3695.32,4435.173483282506,128936.071802,29,29
1546128000,3696.71,3903.5,3630.33,3702.9,4365.433151541315,63214.147612,23,23
1546300800,3701.23,3882.14,3642,3766.78,4308.418565680237,88305.098761,24,24
1546560000,3767.2,4027.71,3703.57,3987.6,4277.864416567834,96564.029131,48,48
1546819200,3987.62,4069.8,3903,3966.65,4248.224948323279,99760.708897,39,39
1547078400,3966.06,3996.01,3465,3583.13,4184.88257229249,119740.811597,37,37
1547337600,3584.1,3671.87,3441.3,3553.06,4124.708993978919,95758.966128,21,21
1547596800,3553.06,3645,3530.39,3594.87,4074.2481374094987,79949.06757,24,24
1547856000,3594.87,3720,3475,3526.9,4022.119743370499,69717.95356,31,31
1548115200,3526.88,3608.5,3434.85,3569.62,3979.0245297161655,75101.536845,27,27
1548374400,3569.07,3662.94,3486,3550.84,3938.2450506955784,59820.477177,35,35
1548633600,3550.05,3557.75,3349.92,3458.18,3892.5245696769516,93918.300621,35,35
1548892800,3457.5,3526.4,3401.2,3504.77,3855.5955630410513,72788.468412,17,17
1549152000,3504.06,3511.09,3426,3471.59,3819.023604656189,68263.732528,19,19
1549411200,3471.57,3733.58,3373.1,3659.04,3803.787070879409,101943.841497,14,14
1549670400,3660.27,3684.99,3609.76,3631.05,3787.335921271846,72965.050924,42,42
1549929600,3631.05,3670,3568.11,3590.56,3768.595357341194,77007.097139,38,38
1550188800,3590.57,3700.11,3573.45,3667.58,3758.974847118223,66034.093429,43,43
1550448000,3667.62,3994.52,3655,3969.74,3779.0477188212494,150455.044009,63,63
1550707200,3969.74,4162.02,3901.03,4117.76,3811.306031314464,88704.991361,59,59
1550966400,4118,4198,3712.66,3809.23,3811.1083140464198,129165.901171,69,69
1551225600,3809.31,3888,3677.17,3823,3812.2408555658085,87237.52868,39,39
1551484800,3822.17,3841.31,3670.69,3715.3,3803.0083931309696,70906.845425,41,41
1551744000,3716.1,3907,3703.55,3873.64,3809.735212832782,84192.912653,35,35
1552003200,3873.63,3971.75,3800,3916.82,3819.933763991565,88897.675657,54,54
1552262400,3915.99,3936.98,3826.06,3866,3824.3210245637965,89448.903084,56,56
1552521600,3866,4056.98,3810.43,4005.98,3841.6218793672447,77357.186152,55,55
1552780800,4005.98,4037,3950.01,4015.53,3858.1845575227453,61162.475402,58,58
1553040000,4017.48,4069.32,3880.01,3986.93,3870.4460282348646,79452.588692,55,55
1553299200,3987.89,4018.83,3888.71,3936.12,3876.7006922124965,67675.345183,50,50
